feature,importance
entropy,0.2921627399678177
url_length,0.2074650402121041
num_digits,0.14740924510673986
num_special_chars,0.1062910641734352
num_dots,0.10395373591369404
num_slashes,0.10346235465554886
keyword_login,0.021474175160801436
keyword_secure,0.013743487947980746
has_ip,0.002585550389136208
keyword_verify,0.0014526064727418669
form_count,0.0
script_count,0.0
hidden_input_count,0.0
login_form_present,0.0
ssl_expiry_days,0.0
domain_age_days,0.0
ssl_cn_mismatch,0.0
ssl_self_signed,0.0
ssl_expired,0.0
external_form_action,0.0
